class,certainty
1,0.7999407556906353
1,0.7771317719165464
1,0.8323259258728858
1,0.7631419405392615
2,0.9118672732780593
1,0.7821277652068686
1,0.8051736833478514
2,0.6056367390049037
2,0.824086316191975
2,0.7136646684835174
2,0.6850992692426638
2,0.8532124633184464
2,0.7951421081688617
2,0.9579011601822
1,0.8977684525111304
2,0.8474302176832265
2,0.8161544600869965
2,0.6659931358281058
1,0.7970777940360321
1,0.8957953038851943
2,0.7976708396158682
2,0.5549240947561309
2,0.5564367677410605
1,0.8602729899754767
1,0.8790891846848009
1,0.8977828747850739
1,0.883083480765018
1,0.870098524765874
1,0.8915337224616428
1,0.8828433817551227
1,0.6870992057563915
1,0.8889450673400521
2,0.7711481183156813
1,0.8755725600696658
1,0.886967557712966
1,0.7704305962393464
2,0.9049580709947181
1,0.8604191254497802
1,0.8934553991184164
2,0.6368296296564476
1,0.6955334952794738
1,0.8677383580990737
2,0.5783342213550668
1,0.7879126866819414
1,0.7641251140617231
1,0.7707130650792909
1,0.7666198945818014
1,0.8129855159242312
1,0.7556209242848707
1,0.733041325837788
2,0.8308782077379131
2,0.7051365153291173
1,0.8241431550085707
1,0.738734471036393
1,0.6639986979684397
1,0.577273182569741
2,0.7387619029196413
1,0.6239856368484664
2,0.8216528813701617
2,0.786467321071891
1,0.5453457456339513
2,0.8019740473015669
1,0.6134239996623264
1,0.5441025532658356
1,0.6686840447325745
2,0.5245764522899915
2,0.7189391917814532
1,0.5811067149099198
2,0.8558780399197607
2,0.7819795725418999
1,0.5461802658597946
